utt	orth
hi07.cha_74	&ah: Keith .
hi07.cha_75	you're a blooming nuisance .
hi07.cha_76	hoi@i ?
hi07.cha_77	come on pull some funny faces .
hi07.cha_78	oy ?
hi07.cha_79	shut up ?
hi07.cha_80	look at some toys .
hi07.cha_81	oy ?
hi07.cha_82	what's this ?
hi07.cha_83	what is it ?
hi07.cha_84	you're not looking at it are you ?
hi07.cha_85	oh dear .
hi07.cha_86	what we going to do with ya ?
hi07.cha_87	hey ?
hi07.cha_88	hey ?
hi07.cha_89	you're upset about somat [: something] now aren't ya ?
hi07.cha_90	what's wrong ?
hi07.cha_91	I wish you could talk and tell me .
hi07.cha_92	shut up ?
hi07.cha_93	oh dear .
hi07.cha_94	oh dear .
hi07.cha_95	what's a matter ?
hi07.cha_96	hey ?
hi07.cha_97	you'll shut up when your dad comes in don't you ?
hi07.cha_98	and he starts with ya .
hi07.cha_99	hey ?
hi07.cha_100	you're not going to shut up are you ?
hi07.cha_101	now what's wrong ?
hi07.cha_102	hey ?
hi07.cha_103	ya got wind ?
hi07.cha_104	somat's [: something's] upset you isn't it ?
hi07.cha_105	now what you doing you looking around ?
hi07.cha_106	your daddy's birthday today wasn't it ?
hi07.cha_107	and you bought him a card haven't you ?
hi07.cha_108	hey ?
hi07.cha_109	what's the matter ?
hi07.cha_110	hey ?
hi07.cha_111	you've gone all unsettled now haven't you ?
hi07.cha_112	you wait till your daddy comes home .
hi07.cha_113	he plays with you doesn't he ?
hi07.cha_114	what's up ?
hi07.cha_115	what's up ?
hi07.cha_116	I know you haven't soiled your nappie cause I've just changed it .
hi07.cha_117	and you've just been fed and you just woke up so it's none of those
hi07.cha_118	or have you got belly ache ?
hi07.cha_119	shh shh shh ?
hi07.cha_120	Keith ?
hi07.cha_121	surely you're not still tired ?
hi07.cha_122	what's up ?
hi07.cha_123	oh dear you've got a wicked world hey !
hi07.cha_124	you are our boon too aren't you ?
hi07.cha_125	shut up ?
hi07.cha_126	you like bouncing don't you ?
hi11.cha_1	Keith ?
hi11.cha_2	oy ?
hi11.cha_3	what are you doing ?
hi11.cha_4	&hmm ?
hi11.cha_5	what are you doing ?
hi11.cha_6	going to see your granddad ?
hi11.cha_7	hey ?
hi11.cha_8	going to see your granddad ?
hi11.cha_9	and your great grandma ?
hi11.cha_10	hey ?
hi11.cha_11	Keith ?
hi11.cha_12	oy ?
hi11.cha_13	you've seen your hand haven't you ?
hi11.cha_14	what's this ?
hi11.cha_15	what is it ?
hi11.cha_16	hey ?
hi11.cha_17	yes .
hi11.cha_18	come on then grab it .
hi11.cha_19	oy ?
hi11.cha_20	Keith ?
hi11.cha_21	spit it out then .
hi11.cha_22	spit it out .
hi11.cha_23	here y(ou) are Keith .
hi11.cha_24	you are a grotty thing aren't you ?
hi11.cha_25	what is it ?
hi11.cha_26	and he keeps me occupied by keep being sick don't you ?
hi11.cha_27	hey .
hi11.cha_28	here y(ou) are then .
hi11.cha_29	what's that ?
hi11.cha_30	boo ?
hi11.cha_31	boo ?
hi11.cha_32	you haven't seen that one before have you ?
hi11.cha_33	what is it ?
hi11.cha_34	come on then .
hi11.cha_35	not sure about that are you ?
hi11.cha_36	what is it ?
hi11.cha_37	move it here .
hi11.cha_38	come on then smile .
hi11.cha_39	have a go at these things .
hi11.cha_40	what is it hey ?
hi11.cha_41	Keith do somat [: something] .
hi11.cha_42	do somat [: something] .
hi11.cha_43	come on .
hi11.cha_44	is that a face ?
hi11.cha_45	what is it ?
hi11.cha_46	what is it hey ?
hi11.cha_47	Keith ?
hi11.cha_48	what's that thunder ?
hi11.cha_49	hey ?
hi11.cha_50	is it thunder ?
hi11.cha_51	what's up ?
hi11.cha_52	hey what's the matter ?
hi11.cha_53	boo ?
hi11.cha_54	give us a smile .
hi11.cha_55	what is it ?
hi11.cha_56	don't know what to make of it do you ?
hi11.cha_57	what is it ?
hi11.cha_58	what's it doing is it smacking ya ?
hi11.cha_59	boo ?
hi11.cha_60	go on you usually smile at this .
hi11.cha_61	hey ?
hi11.cha_62	come on do somat [: something] .
hi11.cha_63	do somat [: something] then .
hi11.cha_64	talk to me .
hi11.cha_65	tell me what you been dreaming about .
hi11.cha_66	you were telling me earlier on weren't you ?
hi11.cha_67	what was ya dreaming about ?
hi11.cha_68	hey ?
hi11.cha_69	was it me making you wait for your bottle again ?
hi11.cha_70	was it ?
hi11.cha_71	you just had your bottle now didn't ya ?
hi11.cha_72	and your steak and kidney ?
hi11.cha_73	didn't ya ?
hi11.cha_74	you didn't like it did ya oh god ?
hi11.cha_75	oh you are a mucky pup .
hi11.cha_76	don't know why I bother getting you dressed .
hi11.cha_77	leave you in your scruffs all day .
hi11.cha_78	hey ?
hi11.cha_79	oh ?
hi11.cha_80	up ?
hi11.cha_81	Keith ?
hi11.cha_82	now you've got hiccoughs haven't ya ?
hi11.cha_83	you get fed up with them don't you ?
hi11.cha_84	now what ya got ?
hi11.cha_85	the hiccoughs ?
hi11.cha_86	they're not very nice are they ?
hi11.cha_87	what is it ?
hi11.cha_88	are they nasty ?
hi11.cha_89	are they ?
hi11.cha_90	are they nasty ?
hi11.cha_91	yes ?
hi11.cha_92	tell me then .
hi11.cha_93	oh dear .
hi11.cha_94	at least you'll not be sick again now .
hi11.cha_95	will ya ?
hi11.cha_96	are they annoying ya ?
hi11.cha_97	there then .
hi11.cha_98	now you'll just have a good look around won't ya ?
hi11.cha_99	Keith ?
hi11.cha_100	you'll not look at me will ya ?
hi11.cha_101	there then .
hi11.cha_102	we'll go to Tata's in a bit .
hi11.cha_103	that's done it .
hi11.cha_104	oy ?
hi11.cha_105	Keith ?
hi11.cha_106	oh dear they do sound violent .
hi11.cha_107	nearly jumping after me aren't you ?
hi11.cha_108	are they nasty ?
hi11.cha_109	are they nasty ?
hi11.cha_110	hey ?
hi11.cha_111	what you looking at ?
hi11.cha_112	what you seeing ?
hi11.cha_113	ya seen the window now haven't ya ?
hi11.cha_114	oh dear .
hi11.cha_115	who's that man hey ?
hi11.cha_116	what's he doing taking pictures of you ?
hi11.cha_117	hey ?
hi11.cha_118	it's raining outside isn't it ?
hi11.cha_119	they are violent .
hi11.cha_120	what's he doing ?
hi11.cha_121	oh dear .
hi11.cha_122	watch that man .
hi11.cha_123	watch him .
hi11.cha_124	see you don't want to look at me .
hi11.cha_125	you just got a glimpse and looked straight away .
hi11.cha_126	now you've seen the light haven't you ?
hi11.cha_127	what is it ?
hi11.cha_128	hey ?
hi11.cha_129	what is it ?
hi15.cha_1	hey what you doing ?
hi15.cha_2	grab him then .
hi15.cha_3	what's he doing ?
hi15.cha_4	who's this ?
hi15.cha_5	Keith ?
hi15.cha_6	what's up hey ?
hi15.cha_7	who's this ?
hi15.cha_8	who's this ?
hi15.cha_9	who's this ?
hi15.cha_10	who is it ?
hi15.cha_11	who is it ?
hi15.cha_12	what's he doing ?
hi15.cha_13	he's licking ya .
hi15.cha_14	he's gone .
hi15.cha_15	hello .
hi15.cha_16	come on then .
hi15.cha_17	pat_a_cake .
hi15.cha_18	who's this ?
hi15.cha_19	go on then you reach him .
hi15.cha_20	you're going to go sick aren't ya ?
hi15.cha_21	what's this Keith ?
hi15.cha_22	what's this ?
hi15.cha_23	boo ?
hi15.cha_24	who is it ?
hi15.cha_25	hey ?
hi15.cha_26	you like your poo don't ya ?
hi15.cha_27	here ya are watch him .
hi15.cha_28	he'll go boo !
hi15.cha_29	beebo@i !
hi15.cha_30	not interested ?
hi15.cha_31	boo boo boo ?
hi15.cha_32	hey ?
hi15.cha_33	you are a mucky pup .
hi15.cha_34	have you got that done ?
hi15.cha_35	who is it ?
hi15.cha_36	is it poo ?
hi15.cha_37	cheeky cheeky chee@i !
hi15.cha_38	cheeky cheeky chee@i !
hi15.cha_39	who's this ?
hi15.cha_40	Keith ?
hi15.cha_41	Pooh ?
hi15.cha_42	oh dear .
hi15.cha_43	trying to find your tassels ain't ya ?
hi15.cha_44	here y(ou) are then .
hi15.cha_45	here .
hi15.cha_46	come on then give us a laugh .
hi15.cha_47	give us a laugh .
hi15.cha_48	you're cheeky ?
hi15.cha_49	you're cheeky !
hi15.cha_50	you're sweater's hot I know that .
hi15.cha_51	what's this ?
hi15.cha_52	what's them ?
hi15.cha_53	what's them ?
hi15.cha_54	hey ?
hi15.cha_55	o:h you have got a funny mouth .
hi15.cha_56	you're cheeky !
hi15.cha_57	come on give us a laugh .
hi15.cha_58	who's that ?
hi15.cha_59	not going to smile at anyone are you come on ?
hi15.cha_60	give us a nice big smile .
hi15.cha_61	who is it ?
hi15.cha_62	come on give us a smile .
hi15.cha_63	no ?
hi15.cha_64	no ?
hi15.cha_65	smile at Pooh then .
hi15.cha_66	who's this ?
hi15.cha_67	hey ?
hi15.cha_68	who's this ?
hi15.cha_69	what's the matter you fed up ?
hi15.cha_70	you fed up now ?
hi15.cha_71	you like your own way don't ya ?
hi15.cha_72	oh Keith !
hi15.cha_73	you'll be all smelly .
hi15.cha_74	you will you'll be all smelly .
hi15.cha_75	smelly won't ya ?
hi15.cha_76	won't ya ?
hi15.cha_77	go ahead stick your tongue out let me wipe it .
hi15.cha_78	that's it .
hi15.cha_79	Keith ?
hi15.cha_80	are you going to talk to me then ?
hi15.cha_81	hey ?
hi15.cha_82	you're looking at your bib aren't you ?
hi15.cha_83	I know how you've just been sick .
hi15.cha_84	come on then is it on that tongue ?
hi15.cha_85	that's it .
hi15.cha_86	come on then .
hi15.cha_87	talk to mummie .
hi15.cha_88	what you got_to say then ?
hi15.cha_89	hey ?
hi15.cha_90	what you doing ?
hi15.cha_91	where's your bib gone ?
hi15.cha_92	I think .
hi15.cha_93	oh you have messed haven't ya ?
hi15.cha_94	I can smell it .
hi15.cha_95	what have you done ?
hi15.cha_96	hey ?
hi15.cha_97	what have you done ?
hi15.cha_98	now what you seeing ?
hi15.cha_99	hey ?
hi15.cha_100	Keith ?
hi15.cha_101	Keith ?
hi15.cha_102	oy ?
hi15.cha_103	look at me then .
hi15.cha_104	you'll look at me if I walk out room .
hi15.cha_105	Keith ?
hi15.cha_106	oy ?
hi15.cha_107	here play pat_a_cake .
hi15.cha_108	what's up do you want somat [: something] to play with ?
hi15.cha_109	who's this ?
hi15.cha_110	who is it ?
hi15.cha_111	yes .
hi15.cha_112	you know who it is don't ya ?
hi15.cha_113	who's that ?
hi15.cha_114	who's that ?
hi15.cha_115	who is it ?
hi15.cha_116	oh ?
hi15.cha_117	you're mucky you are .
hi15.cha_118	you're mucky .
hi15.cha_119	there get it all off .
hi15.cha_120	bwaaaa@i ?
hi15.cha_121	who's this then ?
hi15.cha_122	who's this ?
hi15.cha_123	who is it ?
hi15.cha_124	yes ?
hi15.cha_125	it's Pooh isn't it ?
hi15.cha_126	just what you've done .
hi15.cha_127	isn't it ?
hi15.cha_128	who is it ?
hi15.cha_129	who is it ?
hi15.cha_130	who is it ?
hi15.cha_131	yes .
hi15.cha_132	Keith ?
hi15.cha_133	talk to Pooh .
hi15.cha_134	yes .
hi15.cha_135	what's he doing ?
hi15.cha_136	hey ?
hi15.cha_137	who is it ?
hi15.cha_138	who is it ?
hi15.cha_139	yes .
hi15.cha_140	yes .
hi15.cha_141	Pooh isn't it ?
hi15.cha_142	are you talking to him ?
hi15.cha_143	cause he don't talk back don't he ?
hi15.cha_144	now you've seen the arms ain't ya who's this ?
hi16.cha_1	what you doing ?
hi16.cha_2	cheeky chops .
hi16.cha_3	what's the matter with my little boy getting fed up ?
hi16.cha_4	hello .
hi16.cha_5	hello cheeky .
hi16.cha_6	hello .
hi16.cha_7	what's the matter ?
hi16.cha_8	good boy .
hi16.cha_9	good .
hi16.cha_10	you're happy aren't you ?
hi16.cha_11	you're happy ?
hi16.cha_12	alright ?
hi16.cha_13	alright ?
hi16.cha_14	alright .
hi16.cha_15	ssh ssh ssh .
hi16.cha_16	are you getting tired ?
hi16.cha_17	poor little baby boy .
hi16.cha_18	poor little baby boy .
hi16.cha_19	who is it Keith ?
hi16.cha_20	a little boy .
hi16.cha_21	it's mark .
hi16.cha_22	hey ?
hi16.cha_23	it's mark .
hi16.cha_24	what have you got_to say ?
hi16.cha_25	what have you got_to say ?
hi16.cha_26	you're cheeky !
hi16.cha_27	you're cheeky !
hi16.cha_28	are you cheeky then ?
hi16.cha_29	what's the matter ?
hi16.cha_30	ugh ?
hi16.cha_31	what you doing ?
hi16.cha_32	&ah .
hi16.cha_33	you are .
hi16.cha_34	you are .
hi16.cha_35	yes I know .
hi16.cha_36	you're cheeky boo !
hi16.cha_37	you're cheeky boo !
hi16.cha_38	cheeky cheeky cheeky cheeky !
hi16.cha_39	where's poo ?
hi16.cha_40	where's poo ?
hi16.cha_41	here he is .
hi16.cha_42	what you doing ?
hi16.cha_43	what you doing ?
hi16.cha_44	what are you doing ?
hi16.cha_45	cheeky !
hi16.cha_46	cheeky !
hi16.cha_47	cheeky !
hi16.cha_48	what you doing ?
hi16.cha_49	what's that ?
hi16.cha_50	what've you got there ?
hi16.cha_51	cheeky !
hi16.cha_52	cheeky !
hi16.cha_53	what you doing ?
hi16.cha_54	yes you are .
hi16.cha_55	yes .
hi16.cha_56	what are you doing ?
hi16.cha_57	&hmm ?
hi16.cha_58	there .
hi16.cha_59	hello darling .
hi16.cha_60	what you doing ?
hi16.cha_61	what you doing ?
hi16.cha_62	hey ?
hi16.cha_63	what you doing ?
hi16.cha_64	cheeky !
hi16.cha_65	what you doing then ?
hi16.cha_66	what you doing then ?
hi16.cha_67	cheeky cheeky hey ?
hi16.cha_68	cheeky cheeky hey ?
hi16.cha_69	what you doing ?
hi16.cha_70	hey shut up !
hi16.cha_71	o:h .
hi16.cha_72	o:h .
hi16.cha_73	o:h .
hi16.cha_74	Keith ?
hi16.cha_75	Keith ?
hi16.cha_76	hello there what you doing ?
hi16.cha_77	you've done poo again .
hi16.cha_78	are you getting hungry ?
hi16.cha_79	hey ?
hi16.cha_80	o:h .
hi16.cha_81	can I just go and sew this darling ?
hi16.cha_82	hey ?
hi16.cha_83	and I'll make you a bottle .
hi16.cha_84	cheeky cheeky !
hi16.cha_85	cheeky cheeky !
hi16.cha_86	hello .
hi16.cha_87	hello .
hi16.cha_88	cheeky cheeky cheeky !
hi16.cha_89	cheeky cheeky cheeky !
hi16.cha_90	you're cheeky !
hi16.cha_91	you're cheeky !
hi16.cha_92	hello .
hi16.cha_93	woo woo woo !
hi16.cha_94	hey ?
hi16.cha_95	hey ?
hi16.cha_96	o:h .
hi16.cha_97	what you doing ?
hi16.cha_98	what you doing ?
hi16.cha_99	what you've got_to say ?
hi16.cha_100	hey ?
hi16.cha_101	what's the matter ?
hi16.cha_102	what you doing ?
la06.cha_1	hey .
la06.cha_2	oh dear .
la06.cha_3	oh dear .
la06.cha_4	oh dear .
la06.cha_5	come on then darling .
la06.cha_6	yes .
la06.cha_7	alright then Treas .
la06.cha_8	alright then Treas .
la06.cha_9	alright then .
la06.cha_10	there's a funny noise .
la06.cha_11	that's a funny noise .
la06.cha_12	what a funny noise .
la06.cha_13	oh .
la06.cha_14	hello Treas .
la06.cha_15	ssh .
la06.cha_16	hey .
la06.cha_17	hey .
la06.cha_18	hey .
la06.cha_19	alright darling .
la06.cha_20	alright .
la06.cha_21	ssh .
la06.cha_22	hey Treas pie .
la06.cha_23	hey Treas pie .
la06.cha_24	oh .
la06.cha_25	oh .
la06.cha_26	hey .
la06.cha_27	ssh .
la06.cha_28	hey Treas .
la06.cha_29	oh dear .
la06.cha_30	hey .
la06.cha_31	ssh .
la06.cha_32	oh you should be sleeping .
la06.cha_33	yes you should .
la06.cha_34	hey Treas .
la06.cha_35	oh dear .
la06.cha_36	oh dear .
la06.cha_37	oh dear .
la06.cha_38	hello darling .
la06.cha_39	hello Hannah .
la06.cha_40	ssh .
la06.cha_41	oh that's a funny noise .
la06.cha_42	are you trying to tell me something ?
la06.cha_43	oh dear .
la06.cha_44	oh dear .
la06.cha_45	oh dear .
la06.cha_46	is that better ?
la06.cha_47	that better ?
la06.cha_48	hey .
la06.cha_49	ssh .
la06.cha_50	hey .
la06.cha_51	what's wrong with you old snorty pants ?
la06.cha_52	you tired again ?
la06.cha_53	oh dear .
la06.cha_54	alright alright .
la06.cha_55	alright .
la06.cha_56	doesn't matter .
la06.cha_57	alright darling .
la06.cha_58	oh dear .
la06.cha_59	it's alright .
la06.cha_60	oh dear .
la06.cha_61	oh dear .
la06.cha_62	hey .
la06.cha_63	hey .
la06.cha_64	hey .
la06.cha_65	ssh .
la06.cha_66	you got that tummy ache again ?
la06.cha_67	oh dear .
la06.cha_68	oh dear .
la06.cha_69	oh dear .
la06.cha_70	oh dear .
la06.cha_71	hey .
la06.cha_72	hey Treas .
la06.cha_73	ssh .
la06.cha_74	alright darling .
la06.cha_75	alright .
la06.cha_76	alright .
la06.cha_77	hey hey hey .
la06.cha_78	ssh .
la06.cha_79	hey hey .
la06.cha_80	hey .
la06.cha_81	oh dear .
la06.cha_82	that windy ?
la06.cha_83	oh dear .
la06.cha_84	come on then .
la06.cha_85	oh dear .
la06.cha_86	hey Treas .
la06.cha_87	ssh .
la06.cha_88	alright Hannah .
la06.cha_89	alright darling .
la06.cha_90	oh it's not fair is it having big pains ?
la06.cha_91	oh dear darling .
la06.cha_92	ssh .
la06.cha_93	you should be so tired .
la06.cha_94	yes you should .
la06.cha_95	oh .
la06.cha_96	we just having a paddy ?
la06.cha_97	ssh .
la06.cha_98	hey Treas .
la06.cha_99	oh we are in a bad way aren't we ?
la06.cha_100	we are in a bad way .
la06.cha_101	oh dear .
la06.cha_102	oh dear .
la06.cha_103	alright darling mummie go and bath you .
la06.cha_104	hello .
la06.cha_105	go and have a bath ?
la06.cha_106	go and have a bath yes ?
la06.cha_107	alright .
la06.cha_108	alright .
la06.cha_109	alright .
la06.cha_110	you like your bath .
la06.cha_111	yes you do .
la06.cha_112	yes you do .
la06.cha_113	o:h .
la06.cha_114	there's only just mummie today (be)cause daddy's at work .
la06.cha_115	&mm ?
la06.cha_116	&eh Treas ?
la06.cha_117	alright mummie coming with the water .
la06.cha_118	hey ?
la06.cha_119	hey ?
la06.cha_120	hey .
la06.cha_121	hey .
la06.cha_122	mummie coming with the water .
la06.cha_123	o:h .
la06.cha_124	what you telling mum ?
la06.cha_125	what you telling mum ?
la06.cha_126	&mm ?
la06.cha_127	what you telling mum that you're hungry ?
la06.cha_128	are you telling mum that you're hungry ?
la06.cha_129	alright .
la06.cha_130	there we go .
la06.cha_131	roll over .
la06.cha_132	roll over .
la06.cha_133	hey .
la06.cha_134	&eh ?
la06.cha_135	there's a good girl .
la06.cha_136	there's a good girl .
la06.cha_137	oh bless you .
la06.cha_138	oh bless you .
la06.cha_139	oh bless you .
la06.cha_140	there we are .
la06.cha_141	one armie .
la06.cha_142	&mm ?
la06.cha_143	your looking at mummie funny .
la06.cha_144	(a)nother armie .
la06.cha_145	o:h .
la06.cha_146	o:h .
la06.cha_147	o:h .
la06.cha_148	o:h .
la06.cha_149	beebo@i !
la06.cha_150	lifty up .
la06.cha_151	kiss mumma .
la06.cha_152	smile at mumma .
la06.cha_153	come on then .
la06.cha_154	come on then .
la06.cha_155	there you go .
la06.cha_156	there you go .
la06.cha_157	hello .
la06.cha_158	hello Treas pie .
la06.cha_159	hello Treas pie .
la06.cha_160	alright darling .
la06.cha_161	alright darling .
la06.cha_162	o:h .
la06.cha_163	o:h .
la06.cha_164	one armie .
la06.cha_165	one armie .
la06.cha_166	t(he) other armie .
la06.cha_167	beebo@i !
la06.cha_168	Hannah .
la06.cha_169	good girl .
la06.cha_170	there's a good girl .
la06.cha_171	lift up .
la06.cha_172	that's it .
la06.cha_173	then leggies .
la06.cha_174	that's it .
la06.cha_175	shall I wash ya face ?
la06.cha_176	oh that's a big yawn .
la06.cha_177	oh dear .
la06.cha_178	oh isn't that nice ?
la06.cha_179	isn't that nice ?
la06.cha_180	&mm ?
la06.cha_181	there Treas .
la06.cha_182	there Treas .
la06.cha_183	wash hair .
la06.cha_184	you like this .
la06.cha_185	you like your hair being washed .
la06.cha_186	yes you do .
la06.cha_187	yes you do .
la06.cha_188	o:h .
la06.cha_189	there we are .
la06.cha_190	there we are .
la06.cha_191	o:h .
la06.cha_192	there we are .
la06.cha_193	o:h .
la06.cha_194	o:h .
la06.cha_195	o:h .
la06.cha_196	o:h .
la06.cha_197	there we are .
la06.cha_198	isn't that nice ?
la06.cha_199	let's dry it .
la06.cha_200	rub a dub dub .
la06.cha_201	nice and dry .
la06.cha_202	oh dear .
la06.cha_203	have we a disagreement ?
la06.cha_204	o:h .
la06.cha_205	daddy usually does this doesn't he daddy's at work ?
la06.cha_206	&eh ?
la06.cha_207	&eh ?
la06.cha_208	&eh ?
la06.cha_209	oh there darling .
la06.cha_210	there darling .
la06.cha_211	there we are .
la06.cha_212	o:h .
la06.cha_213	oh dear .
la06.cha_214	oh dear .
la06.cha_215	what hurt you ?
la06.cha_216	what hurt you ?
la06.cha_217	did something hurt you ?
la06.cha_218	was it mummie ?
la06.cha_219	was it mummie ?
la06.cha_220	was it ?
la06.cha_221	oh .
la06.cha_222	come on then .
la06.cha_223	o:h armies up .
la06.cha_224	there .
la06.cha_225	isn't that nice ?
la06.cha_226	oh dear .
la06.cha_227	hey .
la06.cha_228	oh Treas .
la06.cha_229	hey Treas .
la06.cha_230	hey .
la06.cha_231	&eh .
la06.cha_232	come on then .
la06.cha_233	let's get in .
la06.cha_234	come on then .
la06.cha_235	o:h .
la06.cha_236	there .
la06.cha_237	splish splash splosh [: splash] .
la06.cha_238	Hannah in the wash .
la06.cha_239	whee !
la06.cha_240	isn't that nice ?
la06.cha_241	o:h .
la06.cha_242	isn't that nice ?
la06.cha_243	whee !
la06.cha_244	whee !
la06.cha_245	whee !
la06.cha_246	whee !
la06.cha_247	o:h .
la06.cha_248	there Treas .
la06.cha_249	there Treas .
la06.cha_250	come on then .
la06.cha_251	up .
la06.cha_252	o:h big stretch .
la06.cha_253	there we are .
la06.cha_254	now you going to make a noise now ?
la06.cha_255	yes you don't like coming out the bath do you ?
la06.cha_256	oh .
la06.cha_257	oh dear .
la06.cha_258	oh dear .
la06.cha_259	oh dear Hannah .
la06.cha_260	rub a dub dub .
la06.cha_261	yes you don't like coming out the bath do you ?
la06.cha_262	there .
la06.cha_263	there .
la06.cha_264	oh dear darling .
la06.cha_265	oh dear darling .
la06.cha_266	hey treasure .
la06.cha_267	hey .
la06.cha_268	&eh .
la06.cha_269	oh dear .
la06.cha_270	oh dear darling .
la06.cha_271	oh dear darling .
la06.cha_272	hey .
la06.cha_273	you don't like coming out the bath do you ?
la06.cha_274	let's put your nappie on then .
la06.cha_275	let's put your nappie on then .
la06.cha_276	there we go .
la06.cha_277	come to mummie .
la06.cha_278	&mm ?
la06.cha_279	there we go .
la06.cha_280	there we go .
la06.cha_281	there's ya nappie .
la06.cha_282	oh dear .
la06.cha_283	there .
la06.cha_284	one .
la06.cha_285	two .
la06.cha_286	there we are .
la06.cha_287	&eh ?
la06.cha_288	thank_you .
la06.cha_289	there's a good girl .
la06.cha_290	there's a good girl .
la06.cha_291	shall we put some nice powder on ?
la06.cha_292	shall we ?
la06.cha_293	armies up .
la06.cha_294	hey you like this .
la06.cha_295	hey .
la06.cha_296	hey .
la06.cha_297	hey .
la06.cha_298	Hannah .
la06.cha_299	hey .
la06.cha_300	oh dear .
la06.cha_301	nearly done .
la06.cha_302	nearly dry .
la06.cha_303	nearly dry girl .
la06.cha_304	there .
la06.cha_305	there darling .
la06.cha_306	nearly a dry girl .
la06.cha_307	there .
la06.cha_308	there .
la06.cha_309	alright .
la06.cha_310	alright .
la06.cha_311	&mm .
la06.cha_312	let's put ya vesty on .
la06.cha_313	beebo@i !
la06.cha_314	there's a good girl .
la06.cha_315	ssh .
la06.cha_316	hey .
la06.cha_317	hey .
la06.cha_318	hey little girl .
la06.cha_319	there .
la06.cha_320	there .
la06.cha_321	there .
la06.cha_322	hello .
la06.cha_323	bless you .
la06.cha_324	put this on for mummie ?
la06.cha_325	good girl .
la06.cha_326	good girl .
la06.cha_327	oh dear .
la06.cha_328	one armie .
la06.cha_329	oh dear there's the phone .
la06.cha_330	oh dear .
la06.cha_331	there we are .
la06.cha_332	hey .
la06.cha_333	hey .
la06.cha_334	o:h dear .
la06.cha_335	you're going to have something to eat in a minute .
la06.cha_336	hey .
la06.cha_337	hey .
la06.cha_338	hey .
la06.cha_339	oh dear .
la06.cha_340	hey Hannah .
la06.cha_341	Hannah mummie's here .
la06.cha_342	mummie's here .
la06.cha_343	yes she is .
la06.cha_344	yes she is .
la06.cha_345	your mummie's here .
la06.cha_346	your mummie's here .
la06.cha_347	yes she is .
la06.cha_348	there .
la06.cha_349	there .
la06.cha_350	there .
la06.cha_351	that better ?
la06.cha_352	I'll brush your hair .
la06.cha_353	oh you don't like that do you ?
la06.cha_354	oh you don't like that do you ?
la06.cha_355	oh you don't like that do you ?
la06.cha_356	let's go and have something to eat then .
la06.cha_357	there's a nice clean girl .
la06.cha_358	a nice clean girl .
la06.cha_359	hey .
la06.cha_360	it's time for something to eat .
la06.cha_361	nice clean girl .
la06.cha_362	let's go and have something to eat .
la06.cha_363	there we go .
la06.cha_364	oh .
la06.cha_365	Hannah .
la06.cha_366	Hannah .
la06.cha_367	yes it's feed time .
la06.cha_368	yes darling .
la06.cha_369	yes darling .
la06.cha_370	come on then .
la06.cha_371	come on then .
la06.cha_372	oh .
la06.cha_373	come on then .
la06.cha_374	here we are .
la06.cha_375	there you go .
la06.cha_376	oh .
la06.cha_377	that's better .
la06.cha_378	that's better .
la06.cha_379	there's a good girl .
la06.cha_380	good girl .
la06.cha_381	alright darling .
la06.cha_382	mummie here .
la06.cha_383	&mm .
la06.cha_384	&mm .
la06.cha_385	o:h .
la06.cha_386	&mm ?
la06.cha_387	mummie sleepy .
la06.cha_388	oh dear .
la06.cha_389	oh good girl .
la06.cha_390	there's a good girl .
la06.cha_391	you are .
la06.cha_392	is that a big yawn ?
la06.cha_393	&mm ?
la06.cha_394	is it ?
la06.cha_395	oh dear .
la06.cha_396	what a funny noise .
la06.cha_397	alright .
la06.cha_398	oh bless you .
la06.cha_399	come on then .
la06.cha_400	here .
la06.cha_401	you want some more ?
la06.cha_402	oh dear .
la06.cha_403	there .
la06.cha_404	oh dear .
la06.cha_405	quiet girlie ?
la06.cha_406	&mm ?
la06.cha_407	&eh ?
la06.cha_408	there we are .
la06.cha_409	oh dear .
la06.cha_410	&mm ?
la06.cha_411	oh dear .
la06.cha_412	that windy coming up for mummie ?
la06.cha_413	&mm ?
la06.cha_414	oh dear .
la06.cha_415	oh dear .
la06.cha_416	on it's way ?
la06.cha_417	&mm ?
la06.cha_418	there we go .
la06.cha_419	&eh ?
la06.cha_420	&mm ?
la06.cha_421	what ya trying to say ?
la06.cha_422	what ya trying to say ?
la06.cha_423	what ya trying to say ?
la06.cha_424	&eh ?
la06.cha_425	&eh ?
la06.cha_426	&eh ?
la06.cha_427	&mm ?
la06.cha_428	oh .
la06.cha_429	come on .
la06.cha_430	&mm ?
la06.cha_431	&eh ?
la06.cha_432	&eh ?
la06.cha_433	nearly done .
la06.cha_434	nearly done hey hey hey hey hey .
la06.cha_435	&mm ?
la06.cha_436	there finished .
la06.cha_437	&mm ?
la06.cha_438	&mm ?
la06.cha_439	are ya ?
la06.cha_440	have some more now can't you ?
la06.cha_441	&eh ?
la06.cha_442	nice clean nappie on .
la06.cha_443	can have some more nosh can't you ?
la06.cha_444	&mm ?
la06.cha_445	alright .
la06.cha_446	come on sweetie .
la06.cha_447	come on darling .
la06.cha_448	come on sweetie .
la06.cha_449	there we are .
la06.cha_450	come on baby .
la06.cha_451	come on .
la06.cha_452	let me put you down .
la06.cha_453	ssh ssh .
la06.cha_454	ssh ssh .
la06.cha_455	hey darling .
la06.cha_456	hey .
